Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-28,108.5,113.9000015258789,106.5,108.5,3972050,0.0,0.0
2021-04-29,109.5,110.4000015258789,100.9000015258789,102.0,3778290,0.0,0.0
2021-04-30,100.69999694824219,101.80000305175781,98.80000305175781,100.30000305175781,2774100,0.0,0.0
2021-05-03,101.0999984741211,101.19999694824219,96.0999984741211,97.0999984741211,3125120,0.0,0.0
2021-05-04,96.30000305175781,97.5,90.5,93.9000015258789,3522240,0.0,0.0
2021-05-05,94.0999984741211,95.69999694824219,90.80000305175781,91.69999694824219,2760870,0.0,0.0
2021-05-06,93.30000305175781,94.0,89.30000305175781,90.0,3958630,0.0,0.0
2021-05-07,93.19999694824219,97.9000015258789,91.4000015258789,95.0999984741211,3824500,0.0,0.0
2021-05-10,99.0,101.5,95.5999984741211,97.4000015258789,4101530,0.0,0.0
2021-05-11,99.30000305175781,104.80000305175781,96.0,100.5,4960100,0.0,0.0
2021-05-12,100.30000305175781,106.30000305175781,100.19999694824219,103.19999694824219,5442350,0.0,0.0
2021-05-13,108.80000305175781,142.0,106.4000015258789,127.69999694824219,29652500,0.0,0.0
2021-05-14,133.10000610351562,143.39999389648438,125.69999694824219,129.8000030517578,20758990,0.0,0.0
2021-05-17,136.6999969482422,143.8000030517578,133.89999389648438,139.5,15893310,0.0,0.0
2021-05-18,142.5,146.6999969482422,135.6999969482422,140.3000030517578,17248840,0.0,0.0
2021-05-19,129.5,133.10000610351562,121.4000015258789,126.4000015258789,8902410,0.0,0.0
2021-05-20,125.9000015258789,129.89999389648438,120.30000305175781,125.5,6141970,0.0,0.0
2021-05-21,126.0999984741211,128.39999389648438,120.5,120.80000305175781,5393770,0.0,0.0
2021-05-24,123.80000305175781,139.60000610351562,121.69999694824219,136.8000030517578,11331920,0.0,0.0
2021-05-25,136.10000610351562,166.6999969482422,135.5,164.10000610351562,21364410,0.0,0.0
2021-05-26,177.60000610351562,199.5,172.60000610351562,195.60000610351562,37906410,0.0,0.0
2021-05-27,186.10000610351562,297.6000061035156,183.10000610351562,265.20001220703125,70554570,0.0,0.0
2021-05-28,318.1000061035156,367.20001220703125,241.6999969482422,261.20001220703125,66062360,0.0,0.0
2021-06-01,318.8999938964844,335.29998779296875,285.29998779296875,320.3999938964844,50869460,0.0,0.0
2021-06-02,375.20001220703125,726.2000122070312,355.8999938964844,625.5,76646250,0.0,0.0
2021-06-03,581.0,688.0,376.6000061035156,513.4000244140625,59814220,0.0,0.0
2021-06-04,487.8999938964844,574.7999877929688,460.3999938964844,479.1000061035156,33771010,0.0,0.0
2021-06-07,523.7999877929688,596.7999877929688,515.0,550.0,34909490,0.0,0.0
2021-06-08,571.5999755859375,606.2000122070312,527.7000122070312,550.5,21449030,0.0,0.0
2021-06-09,522.0,533.9000244140625,481.20001220703125,493.3999938964844,15036130,0.0,0.0
2021-06-10,479.29998779296875,515.0,397.1000061035156,428.1000061035156,22486060,0.0,0.0
2021-06-11,446.79998779296875,496.0,420.1000061035156,494.0,21800660,0.0,0.0
2021-06-14,518.2999877929688,605.5,515.2000122070312,570.0,30146730,0.0,0.0
2021-06-15,583.9000244140625,647.0999755859375,567.2999877929688,590.4000244140625,28558210,0.0,0.0
2021-06-16,561.4000244140625,573.4000244140625,518.5999755859375,551.7999877929688,16645070,0.0,0.0
2021-06-17,540.0,638.2999877929688,529.7999877929688,607.2999877929688,30357600,0.0,0.0
2021-06-18,612.5999755859375,649.5999755859375,568.5,592.5999755859375,24364590,0.0,0.0
2021-06-21,613.4000244140625,630.0999755859375,534.2999877929688,556.9000244140625,18587610,0.0,0.0
2021-06-22,541.0,587.4000244140625,510.5,582.7000122070312,16949410,0.0,0.0
2021-06-23,570.4000244140625,611.0,568.0,583.0,11629180,0.0,0.0
2021-06-24,579.7999877929688,587.5999755859375,556.5999755859375,567.0,8035120,0.0,0.0
2021-06-25,557.5,562.9000244140625,529.7000122070312,540.5999755859375,7759690,0.0,0.0
2021-06-28,551.0,593.5999755859375,543.2999877929688,581.0999755859375,9931020,0.0,0.0
2021-06-29,590.5999755859375,610.0,561.7999877929688,564.2999877929688,6360410,0.0,0.0
2021-06-30,560.0,581.7999877929688,546.5,566.7999877929688,5902060,0.0,0.0
2021-07-01,568.5999755859375,577.0999755859375,525.2999877929688,542.2000122070312,5754990,0.0,0.0
2021-07-02,527.7000122070312,532.5,477.70001220703125,519.5999755859375,9027150,0.0,0.0
2021-07-06,534.5999755859375,550.7000122070312,497.0,499.6000061035156,6237030,0.0,0.0
2021-07-07,477.0,489.8999938964844,428.0,450.70001220703125,9532020,0.0,0.0
2021-07-08,409.5,497.8999938964844,387.6000061035156,479.3999938964844,14507820,0.0,0.0
2021-07-09,483.70001220703125,489.20001220703125,458.20001220703125,461.8999938964844,5785860,0.0,0.0
2021-07-12,442.8999938964844,465.5,420.70001220703125,426.1000061035156,6298640,0.0,0.0
2021-07-13,405.70001220703125,421.3999938964844,387.0,393.5,8680730,0.0,0.0
2021-07-14,388.0,391.29998779296875,332.3999938964844,334.29998779296875,13783070,0.0,0.0
2021-07-15,322.0,374.0,321.3999938964844,360.0,19958450,0.0,0.0
2021-07-16,378.29998779296875,385.5,343.0,349.6000061035156,12682570,0.0,0.0
2021-07-19,329.5,353.3999938964844,311.5,346.20001220703125,11289130,0.0,0.0
2021-07-20,351.3999938964844,443.8999938964844,351.29998779296875,430.8999938964844,16867340,0.0,0.0
2021-07-21,418.0,465.5,401.1000061035156,407.79998779296875,15802370,0.0,0.0
2021-07-22,401.6000061035156,417.3999938964844,371.5,372.3999938964844,9398590,0.0,0.0
2021-07-23,377.79998779296875,384.0,346.8999938964844,369.8999938964844,8547480,0.0,0.0
2021-07-26,383.20001220703125,408.5,375.70001220703125,402.8999938964844,9797760,0.0,0.0
2021-07-27,399.8999938964844,403.0,370.6000061035156,380.1000061035156,5528890,0.0,0.0
2021-07-28,374.1000061035156,395.6000061035156,360.79998779296875,389.0,7102140,0.0,0.0
2021-07-29,380.0,402.5,374.70001220703125,381.29998779296875,5944620,0.0,0.0
2021-07-30,375.3999938964844,391.8999938964844,367.8999938964844,370.20001220703125,5299620,0.0,0.0
2021-08-02,375.79998779296875,384.79998779296875,350.1000061035156,352.0,5906170,0.0,0.0
2021-08-03,351.6000061035156,352.1000061035156,327.79998779296875,335.8999938964844,6174010,0.0,0.0
2021-08-04,344.29998779296875,352.3999938964844,298.1000061035156,298.3999938964844,8549660,0.0,0.0
2021-08-05,310.79998779296875,341.20001220703125,289.1000061035156,335.1000061035156,10856510,0.0,0.0
2021-08-06,334.20001220703125,335.79998779296875,315.70001220703125,327.0,5285880,0.0,0.0
2021-08-09,326.79998779296875,353.79998779296875,323.5,338.0,8105460,0.0,0.0
2021-08-10,369.0,371.6000061035156,314.3999938964844,317.5,11618150,0.0,0.0
2021-08-11,315.79998779296875,319.1000061035156,294.0,315.5,6968430,0.0,0.0
2021-08-12,309.1000061035156,341.0,307.5,330.70001220703125,7105000,0.0,0.0
2021-08-13,322.0,344.79998779296875,318.79998779296875,334.70001220703125,5799080,0.0,0.0
